time,disp_y_top,h,react_y_top,stress_yy
0.42,-0.09492,0.081726825400814,-1.8987017764233,-0.14872415514342
0.43,-0.09718,0.081726825400814,-1.9806016361173,-0.15508228920409
0.44,-0.09944,0.081726825400814,-2.0658776241114,-0.1617014603457
0.45,-0.1017,0.081726825400814,-2.1434769578666,-0.16770369590551
0.46,-0.10396,0.081726825400814,-2.2508696198093,-0.17606642067811
0.47,-0.10622,0.081726825400814,-2.3369579545058,-0.18273008570793
0.48,-0.10848,0.081726825400814,-2.4340705469041,-0.19026040724877
0.49,-0.11074,0.081726825400814,-2.5222754413956,-0.1970756426224
0.5,-0.113,0.081726825400814,-2.619004518134,-0.20455971437297
0.51,-0.11526,0.081726825400814,-2.7304689793564,-0.21320728526185
0.52,-0.11752,0.081726825400814,-2.8232507704737,-0.22036355831256
0.53,-0.11978,0.081726825400814,-2.9336535860446,-0.2289101139095
0.54,-0.12204,0.081726825400814,-3.0251158262743,-0.23594392046441
0.55,-0.1243,0.081726825400814,-3.1436321416325,-0.24511754372005
0.56,-0.12656,0.081726825400814,-3.2561795220747,-0.25380930826044
0.57,-0.12882,0.081726825400814,-3.3636264138575,-0.26208638227419
0.58,-0.13108,0.081726825400814,-3.476628193499,-0.27079552303144
0.59,-0.13334,0.081726825400814,-3.5771067270449,-0.27850090504852
0.6,-0.1356,0.081726825400814,-3.7140921050173,-0.28909685737443
0.61,-0.13786,0.081726825400814,-3.8269060428145,-0.29776493840656
0.62,-0.14012,0.081726825400814,-3.9533285382133,-0.30750197992391
0.63,-0.14238,0.081726825400814,-4.0753763060062,-0.31688155465406
0.64,-0.14464,0.081726825400814,-4.1806088807859,-0.32491638678473
0.65,-0.1469,0.081726825400814,-4.2748492939063,-0.33206709148287
0.66,-0.14916,0.081726825400814,-4.4243224982817,-0.3435962155852
0.67,-0.15142,0.081726825400814,-4.5890490914461,-0.35632702656734
0.68,-0.15368,0.081726825400814,-4.7348477805898,-0.36754491640393
0.69,-0.15594,0.081726825400814,-4.8620883692528,-0.37727880364487
0.7,-0.1582,0.081726825400814,-4.976107172082,-0.38595068311104
0.71,-0.16046,0.081726825400814,-5.111629886987,-0.39631609044182
0.72,-0.16272,0.081726825400814,-5.2609919022427,-0.40776888446535
0.73,-0.16498,0.081726825400814,-5.3886950779812,-0.41749274972588
0.74,-0.16724,0.081726825400814,-5.5044224676884,-0.4262529974709
0.75,-0.1695,0.081726825400814,-5.6323856983927,-0.43597254333081
