763,0.213,10200,,,738,0.212,9660,,,720,0.209,9710,,,721,0.205,9720,,,721.3,0.20334,9715.4,,,820.95,0.21245,10655,,,930.04,0.22156,11653,,,1049.1,0.23065,12707,,,1178.8,0.23972,13823,,,1319.7,0.24879,15000,,,1472.3,0.25781,16243,,,1637.3,0.26689,17546,,,1724.5,0.27137,18211,,,1553.2,0.26236,16889,,,0,0,0,
W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s)
388.68,0.17173,6255.1,9.3562,,381.51,0.16951,6060.7,9.3562,,363.67,0.16443,5991.4,9.3562,,364.05,0.16195,6004.8,9.3562,,363.99,0.16069,6002.4,9.3562,,414.39,0.16812,6571.5,9.3562,,469.54,0.17555,7172.2,9.3562,,529.61,0.18299,7803.9,9.3562,,594.89,0.19044,8472.5,9.3562,,665.69,0.1979,9175.2,9.3562,,742.26,0.20535,9915.4,9.3562,,824.94,0.21283,10692,9.3562,,868.61,0.21656,11094,9.3562,,782.82,0.20909,10299,9.3562,,,,,
404.95,0.17404,6436.1,9.4703,,397.37,0.17187,6229.2,9.4703,,379.21,0.16689,6169.7,9.4703,,379.62,0.16436,6179.4,9.4703,,379.55,0.16306,6179.3,9.4703,,432.11,0.17057,6766.6,9.4703,,489.57,0.1781,7385.7,9.4703,,552.18,0.18563,8037.3,9.4703,,620.25,0.19318,8726.3,9.4703,,694.06,0.20073,9453.1,9.4703,,773.91,0.20827,10215,9.4703,,860.11,0.21584,11015,9.4703,,905.68,0.21962,11431,9.4703,,816.2,0.21206,10611,9.4703,,,,,
421.72,0.17636,6623,9.5844,,413.47,0.17431,6396.5,9.5844,,395.2,0.16938,6353.1,9.5844,,395.66,0.16678,6360.4,9.5844,,395.58,0.16542,6360.4,9.5844,,450.33,0.17302,6965,9.5844,,510.2,0.18065,7602.7,9.5844,,575.43,0.18828,8275.9,9.5844,,646.35,0.19592,8984.9,9.5844,,723.28,0.20356,9733.8,9.5844,,806.51,0.2112,10521,9.5844,,896.34,0.21886,11346,9.5844,,943.85,0.22268,11776,9.5844,,850.57,0.21503,10928,9.5844,,,,,
438.91,0.17867,6817.4,9.6985,,430.25,0.17661,6572.6,9.6985,,411.66,0.17184,6537.4,9.6985,,412.15,0.16919,6545.1,9.6985,,412.06,0.16778,6545.4,9.6985,,469.1,0.17548,7167.5,9.6985,,531.42,0.1832,7822.7,9.6985,,599.37,0.19093,8517.6,9.6985,,673.22,0.19865,9249.5,9.6985,,753.38,0.20639,10021,9.6985,,840.06,0.21412,10831,9.6985,,933.66,0.22187,11685,9.6985,,983.15,0.22574,12126,9.6985,,885.98,0.218,11252,9.6985,,,,,
456.66,0.181,7011.8,9.8126,,447.3,0.17903,6751.9,9.8126,,428.6,0.17429,6723,9.8126,,429.12,0.17161,6731.1,9.8126,,429.04,0.17015,6733.1,9.8126,,488.39,0.17794,7373.2,9.8126,,553.25,0.18575,8048.3,9.8126,,623.99,0.19357,8763.6,9.8126,,700.9,0.20139,9519.4,9.8126,,784.32,0.20922,10313,9.8126,,874.62,0.21705,11149,9.8126,,972.08,0.22489,12027,9.8126,,1023.6,0.22879,12483,9.8126,,922.43,0.22097,11583,9.8126,,,,,
475.01,0.18328,7215.7,9.9267,,464.96,0.1814,6940.2,9.9267,,446.02,0.17675,6915.9,9.9267,,446.58,0.17403,6920.9,9.9267,,446.49,0.17251,6923.5,9.9267,,508.23,0.1804,7582.1,9.9267,,575.73,0.18831,8279,9.9267,,649.32,0.19622,9014.2,9.9267,,729.36,0.20413,9792,9.9267,,816.2,0.21206,10611,9.9267,,910.15,0.21997,11472,9.9267,,1011.6,0.2279,12377,9.9267,,1065.3,0.23185,12848,9.9267,,959.92,0.22393,11920,9.9267,,,,,
493.7,0.18555,7418.2,10.041,,482.82,0.18381,7127.5,10.041,,463.93,0.17921,7109.9,10.041,,464.53,0.17644,7116,10.041,,464.45,0.17488,7117.5,10.041,,528.64,0.18287,7794,10.041,,598.84,0.19087,8512.3,10.041,,675.37,0.19886,9270.7,10.041,,758.64,0.20687,10071,10.041,,848.97,0.21489,10913,10.041,,946.73,0.22289,11802,10.041,,1052.3,0.23091,12734,10.041,,1108.1,0.2349,13218,10.041,,998.5,0.2269,12262,10.041,,,,,
513.01,0.18781,7627.4,10.155,,501.27,0.18618,7315,10.155,,482.34,0.18168,7305.4,10.155,,482.98,0.17885,7314.7,10.155,,482.89,0.17724,7314.9,10.155,,549.61,0.18533,8011,10.155,,622.59,0.19342,8749.7,10.155,,702.17,0.20151,9531.7,10.155,,788.75,0.20961,10355,10.155,,882.68,0.21772,11222,10.155,,984.33,0.22581,12136,10.155,,1094.1,0.23392,13098,10.155,,1152.2,0.23795,13595,10.155,,1038.2,0.22987,12611,10.155,,,,,
532.9,0.19005,7849.7,10.269,,520.27,0.18855,7504.9,10.269,,501.26,0.18415,7508.4,10.269,,501.94,0.18125,7515.2,10.269,,501.85,0.17961,7515.3,10.269,,571.17,0.18779,8232.4,10.269,,647,0.19598,8991.4,10.269,,729.71,0.20416,9795.4,10.269,,819.69,0.21235,10644,10.269,,917.33,0.22055,11537,10.269,,1023,0.22873,12478,10.269,,1137.2,0.23692,13466,10.269,,1197.5,0.241,13982,10.269,,1079,0.23283,12967,10.269,,,,,
553.25,0.1923,8061.3,10.383,,539.46,0.19079,7697.1,10.383,,520.7,0.18662,7713.2,10.383,,521.41,0.18367,7718.6,10.383,,521.32,0.18199,7718.3,10.383,,593.33,0.19025,8456.9,10.383,,672.07,0.19853,9238.3,10.383,,758.01,0.20681,10066,10.383,,851.5,0.21509,10937,10.383,,952.94,0.22338,11858,10.383,,1062.8,0.23165,12826,10.383,,1181.4,0.23992,13844,10.383,,1244.1,0.24405,14375,10.383,,1120.9,0.23579,13327,10.383,,,,,
574.25,0.19454,8280.2,10.497,,559.21,0.19317,7894.9,10.497,,540.64,0.18909,7919.8,10.497,,541.4,0.18606,7926.6,10.497,,541.31,0.18436,7925.2,10.497,,616.07,0.19272,8684.9,10.497,,697.85,0.20108,9490.1,10.497,,787.09,0.20946,10339,10.497,,884.17,0.21783,11236,10.497,,989.54,0.22621,12182,10.497,,1103.6,0.23457,13179,10.497,,1226.8,0.24292,14230,10.497,,1292,0.24709,14772,10.497,,1164,0.23874,13697,10.497,,,,,
595.67,0.19679,8506.8,10.611,,579.68,0.19557,8095.4,10.611,,561.12,0.19155,8129.2,10.611,,561.94,0.18846,8139.5,10.611,,561.84,0.18673,8136.9,10.611,,639.43,0.19518,8916.7,10.611,,724.32,0.20364,9744.1,10.611,,816.95,0.21211,10618,10.611,,917.74,0.22058,11541,10.611,,1027.1,0.22904,12514,10.611,,1145.6,0.23748,13538,10.611,,1273.6,0.24592,14619,10.611,,1341.3,0.25013,15178,10.611,,1208.3,0.2417,14074,10.611,,,,,
617.72,0.19907,8737.5,10.725,,600.63,0.19797,8297.5,10.725,,582.13,0.194,8340.2,10.725,,583.01,0.19085,8352.9,10.725,,582.92,0.1891,8352.1,10.725,,663.39,0.19765,9152.9,10.725,,751.5,0.2062,10004,10.725,,847.62,0.21476,10901,10.725,,952.2,0.22332,11851,10.725,,1065.7,0.23187,12852,10.725,,1188.7,0.24039,13907,10.725,,1321.5,0.24892,15015,10.725,,1391.8,0.25316,15593,10.725,,1253.8,0.24466,14456,10.725,,,,,
640.41,0.20135,8972.1,10.84,,622.12,0.20037,8503.5,10.84,,603.69,0.19645,8552.6,10.84,,604.64,0.19324,8569.4,10.84,,604.55,0.19147,8569.9,10.84,,688.02,0.20011,9394.6,10.84,,779.39,0.20876,10267,10.84,,879.09,0.21741,11190,10.84,,987.59,0.22606,12165,10.84,,1105.4,0.2347,13194,10.84,,1232.9,0.2433,14281,10.84,,1370.8,0.2519,15421,10.84,,1443.7,0.25618,16014,10.84,,1300.5,0.24761,14842,10.84,,,,,
663.73,0.20364,9209.8,10.954,,644.14,0.20274,8718.7,10.954,,625.8,0.19889,8771.4,10.954,,626.83,0.19564,8793.3,10.954,,626.74,0.19385,8791.1,10.954,,713.28,0.20258,9638.5,10.954,,807.99,0.21132,10535,10.954,,911.38,0.22006,11483,10.954,,1023.9,0.2288,12486,10.954,,1146.1,0.23752,13543,10.954,,1278.4,0.24621,14659,10.954,,1421.4,0.25489,15833,10.954,,1497,0.25924,16442,10.954,,1348.5,0.25056,15237,10.954,,,,,
687.58,0.20591,9448.2,11.068,,666.87,0.20517,8943.1,11.068,,648.48,0.20135,8997.6,11.068,,649.59,0.19804,9018.8,11.068,,649.49,0.19622,9016.2,11.068,,739.19,0.20504,9886.6,11.068,,837.38,0.21388,10807,11.068,,944.54,0.22271,11783,11.068,,1061.2,0.23153,12813,11.068,,1187.8,0.24033,13899,11.068,,1325,0.24911,15044,11.068,,1473.3,0.25789,16251,11.068,,1551.7,0.26229,16878,11.068,,1397.7,0.25349,15641,11.068,,,,,
712.18,0.20822,9694.4,11.182,,690.07,0.20754,9177.7,11.182,,671.75,0.20381,9231.3,11.182,,672.93,0.20044,9247.7,11.182,,672.82,0.19859,9246,11.182,,765.77,0.20751,10139,11.182,,867.49,0.21644,11084,11.182,,978.53,0.22536,12085,11.182,,1099.4,0.23427,13143,11.182,,1230.7,0.24316,14262,11.182,,1372.8,0.25201,15438,11.182,,1526.6,0.26089,16678,11.182,,1607.9,0.26533,17318,11.182,,1448.2,0.25644,16050,11.182,,,,,
737.36,0.21046,9940.3,11.296,,713.88,0.20996,9416.9,11.296,,695.6,0.20627,9469.1,11.296,,696.85,0.20285,9478.9,11.296,,696.76,0.20097,9479.5,11.296,,793.01,0.20998,10395,11.296,,898.38,0.219,11365,11.296,,1013.4,0.228,12393,11.296,,1138.6,0.237,13479,11.296,,1274.6,0.24598,14628,11.296,,1421.9,0.2549,15838,11.296,,1581.2,0.2639,17110,11.296,,1665.5,0.26836,17763,11.296,,1500,0.2594,16466,11.296,,,,,
763.01,0.21277,10189,11.41,,738.26,0.21239,9661.7,11.41,,720.07,0.20874,9711.3,11.41,,721.37,0.20525,9715.4,11.41,,721.3,0.20334,9715.4,11.41,,820.95,0.21245,10655,11.41,,930.04,0.22156,11653,11.41,,1049.1,0.23065,12707,11.41,,1178.8,0.23972,13823,11.41,,1319.7,0.24879,15000,11.41,,1472.3,0.25781,16243,11.41,,1637.2,0.26688,17545,11.41,,1724.5,0.27137,18211,11.41,,1553.2,0.26236,16889,11.41,,,,,
763.02,0.21277,10189,12.41,,738.26,0.21239,9661.7,12.41,,720.07,0.20874,9711.3,12.41,,721.37,0.20525,9715.3,12.41,,721.3,0.20334,9715.4,12.41,,820.94,0.21245,10655,12.41,,930.04,0.22155,11653,12.41,,1049.1,0.23065,12707,12.41,,1178.8,0.23972,13823,12.41,,1319.7,0.24879,15000,12.41,,1472.3,0.25781,16243,12.41,,1637.3,0.26688,17546,12.41,,1724.5,0.27137,18210,12.41,,1553.2,0.26236,16889,12.41,,,,,
763.02,0.21277,10189,13.41,,738.26,0.21239,9661.7,13.41,,720.07,0.20874,9711.2,13.41,,721.37,0.20525,9715.3,13.41,,721.3,0.20334,9715.4,13.41,,820.94,0.21245,10655,13.41,,930.04,0.22155,11653,13.41,,1049.1,0.23065,12707,13.41,,1178.8,0.23972,13823,13.41,,1319.7,0.24879,15000,13.41,,1472.3,0.25781,16243,13.41,,1637.3,0.26689,17546,13.41,,1724.5,0.27137,18210,13.41,,1553.2,0.26236,16889,13.41,,,,,
763.02,0.21277,10189,14.91,,738.26,0.21239,9661.7,14.91,,720.07,0.20874,9711.3,14.91,,721.37,0.20525,9715.3,14.91,,721.3,0.20334,9715.4,14.91,,820.94,0.21245,10655,14.91,,930.04,0.22155,11653,14.91,,1049.1,0.23065,12707,14.91,,1178.8,0.23972,13823,14.91,,1319.7,0.24879,15000,14.91,,1472.3,0.25781,16243,14.91,,1637.3,0.26689,17546,14.91,,1724.5,0.27137,18210,14.91,,1553.2,0.26236,16889,14.91,,,,,
763.02,0.21277,10189,16.41,,738.26,0.21239,9661.7,16.41,,720.07,0.20874,9711.3,16.41,,721.37,0.20525,9715.3,16.41,,721.3,0.20334,9715.4,16.41,,820.94,0.21245,10655,16.41,,930.04,0.22155,11653,16.41,,1049.1,0.23065,12707,16.41,,1178.8,0.23972,13823,16.41,,1319.7,0.24879,15000,16.41,,1472.3,0.25781,16243,16.41,,1637.3,0.26689,17546,16.41,,1724.5,0.27137,18210,16.41,,1553.2,0.26236,16889,16.41,,,,,
473.34,0.17886,3915.7,18.41,,463.69,0.17695,3783.6,18.41,,448.3,0.17265,3579.7,18.41,,449.93,0.16954,3569.7,18.41,,681.35,0.19981,8984.6,16.61,,775.23,0.20876,9845.7,16.61,,877.98,0.21772,10756,16.61,,990.11,0.22667,11721,16.61,,1112.2,0.2356,12739,16.61,,1244.7,0.24452,13816,16.61,,1388.2,0.2534,14948,16.61,,1543.4,0.26233,16139,16.61,,1625.5,0.26677,16755,16.61,,1464.3,0.25786,15536,16.61,,,,,
396.39,0.14212,414.02,20.41,,390.05,0.14213,404.2,20.41,,382.54,0.13733,335,20.41,,385.22,0.1338,273,20.41,,644.57,0.19629,8278.2,16.81,,733.15,0.20507,9063,16.81,,830.1,0.21388,9892.2,16.81,,935.87,0.22268,10769,16.81,,1050.9,0.23147,11695,16.81,,1175.9,0.24024,12670,16.81,,1311.2,0.249,13700,16.81,,1457.4,0.25775,14780,16.81,,1534.8,0.26214,15339,16.81,,1382.9,0.25337,14233,16.81,,,,,
395.67,0.13061,2.09E-08,23.41,,389.46,0.12984,5.62E-08,23.41,,382.19,0.12693,0.00000172,23.41,,385.13,0.12607,0.0000345,21.46,,610.82,0.19276,7595.4,17.01,,694.58,0.20139,8305.3,17.01,,786.24,0.21004,9057.7,17.01,,886.24,0.21869,9850.8,17.01,,995.02,0.22733,10687,17.01,,1113.1,0.23597,11569,17.01,,1240.9,0.24458,12496,17.01,,1379.1,0.25319,13471,17.01,,1452.1,0.25748,13975,17.01,,1308.7,0.24889,12978,17.01,,,,,
395.67,0.13061,0.000017,26.41,,389.46,0.12984,0.0000256,26.41,,382.19,0.12692,0.0000225,26.41,,385.13,0.12607,0.00000984,22.51,,579.97,0.18923,6940,17.21,,659.4,0.19771,7578.1,17.21,,746.28,0.2062,8254.4,17.21,,841.06,0.2147,8968.6,17.21,,944.15,0.22319,9720.6,17.21,,1056,0.23169,10512,17.21,,1177.1,0.24015,11343,17.21,,1308,0.24863,12216,17.21,,1377.2,0.25285,12669,17.21,,1241.3,0.24439,11775,17.21,,,,,
,,,,,,,,,,,,,,,385.13,0.12607,1.08E-09,24.085,,551.95,0.1857,6310,17.41,,627.47,0.19403,6880.2,17.41,,710.05,0.20237,7485.5,17.41,,800.15,0.21071,8123.2,17.41,,898.14,0.21905,8795.1,17.41,,1004.5,0.22739,9500.4,17.41,,1119.6,0.23572,10241,17.41,,1243.9,0.24406,11018,17.41,,1309.7,0.24821,11420,17.41,,1180.5,0.23989,10626,17.41,,,,,
,,,,,,,,,,,,,,,385.13,0.12607,8.54E-10,26.41,,526.62,0.18217,5700,17.61,,598.65,0.19035,6213.4,17.61,,677.43,0.19854,6750.3,17.61,,763.33,0.20671,7316.3,17.61,,856.78,0.21491,7911.3,17.61,,958.2,0.2231,8535.9,17.61,,1067.9,0.23128,9190.8,17.61,,1186.5,0.23948,9876.9,17.61,,1249.3,0.24356,10232,17.61,,1126.1,0.23539,9529.6,17.61,,,,,
,,,,,,,,,,,,,,,,,,,,503.88,0.17865,5120,17.81,,572.81,0.18667,5576.3,17.81,,648.2,0.1947,6050.9,17.81,,730.43,0.20273,6548.1,17.81,,819.85,0.21076,7070.8,17.81,,916.92,0.21881,7618.8,17.81,,1022,0.22684,8194.2,17.81,,1135.5,0.23489,8794,17.81,,1195.6,0.2389,9104.5,17.81,,1077.6,0.23087,8490.7,17.81,,,,,
,,,,,,,,,,,,,,,,,,,,483.6,0.17512,4576.1,18.01,,549.82,0.18299,4970.6,18.01,,622.23,0.19086,5385.1,18.01,,701.23,0.19874,5820.2,18.01,,787.15,0.20662,6274.5,18.01,,880.43,0.21451,6750.2,18.01,,981.38,0.22239,7249.1,18.01,,1090.5,0.2303,7770.1,18.01,,1148.3,0.23424,8039.2,18.01,,1034.9,0.22635,7506.3,18.01,,,,,
,,,,,,,,,,,,,,,,,,,,465.65,0.1716,4054.8,18.21,,529.5,0.1793,4397.4,18.21,,599.35,0.18703,4755.6,18.21,,675.55,0.19476,5130.4,18.21,,758.44,0.20248,5522.9,18.21,,848.44,0.21022,5931.6,18.21,,945.87,0.21794,6359.1,18.21,,1051.2,0.22571,6804.2,18.21,,1107,0.22957,7034.9,18.21,,997.52,0.22182,6579.8,18.21,,,,,
,,,,,,,,,,,,,,,,,,,,449.93,0.16808,3562.4,18.41,,511.73,0.17562,3855.1,18.41,,579.36,0.18319,4161.7,18.41,,653.17,0.19077,4481.7,18.41,,733.49,0.19834,4814.5,18.41,,820.71,0.20593,5161.4,18.41,,915.13,0.2135,5524.1,18.41,,1017.3,0.2211,5900.7,18.41,,1071.3,0.2249,6094.4,18.41,,965.2,0.2173,5709.9,18.41,,,,,
,,,,,,,,,,,,,,,,,,,,436.28,0.16454,3098.3,18.61,,496.35,0.17195,3346.1,18.61,,562.12,0.17936,3604,18.61,,633.91,0.18678,3872.2,18.61,,712.05,0.1942,4151.9,18.61,,796.94,0.20164,4441.9,18.61,,888.88,0.20906,4743.3,18.61,,988.31,0.21651,5056,18.61,,1041,0.22023,5217.2,18.61,,937.62,0.21279,4898.1,18.61,,,,,
,,,,,,,,,,,,,,,,,,,,424.59,0.161,2662.4,18.81,,483.22,0.16826,2868.5,18.81,,547.42,0.17552,3082.6,18.81,,617.55,0.18279,3304,18.81,,693.9,0.19006,3533.6,18.81,,776.88,0.19735,3771.5,18.81,,866.76,0.20462,4018.5,18.81,,964.03,0.21192,4272.7,18.81,,1015.5,0.21556,4403.2,18.81,,914.43,0.20827,4145,18.81,,,,,
,,,,,,,,,,,,,,,,,,,,414.74,0.15746,2256,19.01,,472.18,0.16457,2423.2,19.01,,535.12,0.17169,2596.5,19.01,,603.88,0.1788,2775.7,19.01,,678.79,0.18592,2960.7,19.01,,760.22,0.19305,3151.6,19.01,,848.46,0.20018,3347.6,19.01,,944,0.20733,3550.5,19.01,,994.61,0.21089,3654.3,19.01,,895.28,0.20375,3448.3,19.01,,,,,
,,,,,,,,,,,,,,,,,,,,406.57,0.15392,1879.5,19.21,,463.08,0.16088,2011.5,19.21,,525.01,0.16785,2148.2,19.21,,592.71,0.17481,2287.9,19.21,,666.48,0.18178,2432.4,19.21,,746.71,0.18876,2580.9,19.21,,833.69,0.19573,2732.8,19.21,,927.89,0.20273,2888.6,19.21,,977.81,0.20623,2968.1,19.21,,879.85,0.19923,2810.2,19.21,,,,,
,,,,,,,,,,,,,,,,,,,,399.98,0.15037,1532.3,19.41,,455.76,0.15718,1633.7,19.41,,516.92,0.164,1736.8,19.41,,583.81,0.17082,1842.2,19.41,,656.73,0.17763,1949.9,19.41,,736.07,0.18446,2060.1,19.41,,822.11,0.19128,2172.1,19.41,,915.34,0.19813,2286.8,19.41,,964.75,0.20155,2345.1,19.41,,867.79,0.19471,2229.2,19.41,,,,,
,,,,,,,,,,,,,,,,,,,,394.81,0.14683,1214.7,19.61,,450.06,0.15348,1288.4,19.61,,510.67,0.16015,1362.8,19.61,,576.98,0.16682,1437.9,19.61,,649.29,0.17349,1514.3,19.61,,728,0.18016,1591.1,19.61,,813.4,0.18683,1668.7,19.61,,905.96,0.19353,1747.1,19.61,,955.04,0.19688,1786.7,19.61,,858.75,0.19018,1707.8,19.61,,,,,
,,,,,,,,,,,,,,,,,,,,390.94,0.14327,927.73,19.81,,445.83,0.14978,977.15,19.81,,506.06,0.15629,1026.2,19.81,,571.99,0.16281,1075.4,19.81,,643.92,0.16934,1124.5,19.81,,722.23,0.17586,1173.1,19.81,,807.23,0.18238,1222,19.81,,899.39,0.18893,1270.2,19.81,,948.26,0.1922,1294.1,19.81,,852.38,0.18565,1246.2,19.81,,,,,
,,,,,,,,,,,,,,,,,,,,388.21,0.13972,673.08,20.01,,442.88,0.14608,702.1,20.01,,502.91,0.15244,729.7,20.01,,568.62,0.15881,756.55,20.01,,640.34,0.16518,782.52,20.01,,718.46,0.17156,807.8,20.01,,803.27,0.17793,832.21,20.01,,895.24,0.18434,855.84,20.01,,944.03,0.18753,867.2,20.01,,848.32,0.18113,844.23,20.01,,,,,
,,,,,,,,,,,,,,,,,,,,386.48,0.1362,450.55,20.21,,441.06,0.1424,462.98,20.21,,501,0.14861,474,20.21,,566.64,0.15483,483.5,20.21,,638.3,0.16105,491.91,20.21,,716.37,0.16728,498.83,20.21,,801.14,0.1735,504.44,20.21,,893.11,0.17976,508.8,20.21,,941.89,0.18288,510.46,20.21,,846.19,0.17663,506.76,20.21,,,,,
,,,,,,,,,,,,,,,,,,,,385.58,0.13267,262.54,20.41,,440.16,0.13872,262.01,20.41,,500.11,0.14478,260.17,20.41,,565.78,0.15085,257.06,20.41,,637.48,0.15692,252.59,20.41,,715.61,0.163,246.88,20.41,,800.46,0.16907,239.86,20.41,,892.52,0.17518,231.41,20.41,,941.36,0.17823,226.74,20.41,,845.55,0.17213,235.79,20.41,,,,,
,,,,,,,,,,,,,,,,,,,,385.34,0.12916,111.46,20.61,,439.97,0.13505,103.2,20.61,,499.99,0.14096,93.856,20.61,,565.74,0.14688,83.601,20.61,,637.54,0.15279,72.289,20.61,,715.79,0.15875,60.223,20.61,,800.77,0.16473,47.351,20.61,,892.97,0.17075,34.529,20.61,,941.88,0.17379,28.36,20.61,,845.93,0.16773,40.858,20.61,,,,,
,,,,,,,,,,,,,,,,,,,,385.53,0.12568,5.1458,20.81,,440.21,0.13176,9.5887E-11,20.81,,500.26,0.13804,4.4568E-10,20.81,,566.02,0.14437,1.02E-09,20.81,,637.82,0.15072,1.68E-08,20.81,,716.05,0.15711,7.80E-08,20.81,,801,0.16351,9.57E-08,20.81,,893.15,0.16997,1.18E-07,20.81,,942.04,0.1732,1.35E-07,20.81,,846.13,0.16673,1.02E-07,20.81,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,0.00000029,21.01,,440.21,0.13176,3.4743E-07,21.01,,500.26,0.13804,0.000000239,21.01,,566.02,0.14437,1.53E-07,21.01,,637.82,0.15072,8.68E-08,21.01,,716.05,0.15711,4.55E-08,21.01,,801,0.16351,1.80E-08,21.01,,893.15,0.16997,5.49E-09,21.01,,942.04,0.1732,2.58E-09,21.01,,846.13,0.16673,1.07E-08,21.01,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,3.45E-10,21.21,,440.21,0.13176,1.3584E-10,21.21,,500.26,0.13804,1.1458E-10,21.21,,566.02,0.14437,9.82E-11,21.21,,637.82,0.15072,8.24E-11,21.21,,716.05,0.15711,2.79E-11,21.21,,801,0.16351,3.13E-11,21.21,,893.15,0.16997,6.31E-11,21.21,,942.04,0.1732,4.40E-11,21.21,,846.13,0.16673,8.20E-11,21.21,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,7.94E-11,21.41,,440.21,0.13176,5.6935E-11,21.41,,500.26,0.13804,5.3906E-11,21.41,,566.02,0.14437,5.46E-11,21.41,,637.82,0.15072,4.84E-11,21.41,,716.05,0.15711,4.67E-11,21.41,,801,0.16351,4.36E-11,21.41,,893.15,0.16997,5.57E-11,21.41,,942.04,0.1732,4.88E-11,21.41,,846.13,0.16673,5.45E-11,21.41,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,1.96E-11,21.61,,440.21,0.13176,1.8779E-11,21.61,,500.26,0.13804,7.1868E-12,21.61,,566.02,0.14437,3.15E-12,21.61,,637.82,0.15072,3.97E-11,21.61,,716.05,0.15711,2.67E-11,21.61,,801,0.16351,8.23E-12,21.61,,893.15,0.16997,2.41E-11,21.61,,942.04,0.1732,7.91E-11,21.61,,846.13,0.16673,5.97E-11,21.61,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,4.54E-11,21.81,,440.21,0.13176,2.3243E-11,21.81,,500.26,0.13804,1.4655E-11,21.81,,566.02,0.14437,9.83E-12,21.81,,637.82,0.15072,1.78E-11,21.81,,716.05,0.15711,4.06E-11,21.81,,801,0.16351,6.41E-11,21.81,,893.15,0.16997,1.45E-11,21.81,,942.04,0.1732,1.60E-11,21.81,,846.13,0.16673,7.91E-12,21.81,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,2.9E-11,22.01,,440.21,0.13176,8.3619E-12,22.01,,500.26,0.13804,1.4454E-11,22.01,,566.02,0.14437,4.65E-11,22.01,,637.82,0.15072,1.46E-12,22.01,,716.05,0.15711,2.31E-11,22.01,,801,0.16351,4.55E-12,22.01,,893.15,0.16997,9.45E-12,22.01,,942.04,0.1732,3.91E-11,22.01,,846.13,0.16673,2.93E-11,22.01,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,2.42E-11,22.21,,440.21,0.13176,1.5929E-11,22.21,,500.26,0.13804,2.1143E-11,22.21,,566.02,0.14437,2.40E-11,22.21,,637.82,0.15072,5.86E-12,22.21,,716.05,0.15711,5.50E-12,22.21,,801,0.16351,3.38E-12,22.21,,893.15,0.16997,2.08E-11,22.21,,942.04,0.1732,2.24E-11,22.21,,846.13,0.16673,6.79E-11,22.21,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,6.19E-11,22.41,,440.21,0.13176,3.0542E-11,22.41,,500.26,0.13804,3.8592E-11,22.41,,566.02,0.14437,7.01E-12,22.41,,637.82,0.15072,3.68E-12,22.41,,716.05,0.15711,2.88E-11,22.41,,801,0.16351,5.41E-11,22.41,,893.15,0.16997,8.86E-11,22.41,,942.04,0.1732,1.44E-11,22.41,,846.13,0.16673,8.19E-12,22.41,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,2.43E-12,22.61,,440.21,0.13176,2.3049E-12,22.61,,500.26,0.13804,3.4411E-11,22.61,,566.02,0.14437,2.13E-11,22.61,,637.82,0.15072,3.09E-12,22.61,,716.05,0.15711,9.93E-12,22.61,,801,0.16351,9.22E-11,22.61,,893.15,0.16997,1.17E-11,22.61,,942.04,0.1732,2.22E-11,22.61,,846.13,0.16673,9.45E-12,22.61,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,3.06E-11,22.81,,440.21,0.13176,2.0513E-11,22.81,,500.26,0.13804,3.526E-11,22.81,,566.02,0.14437,3.02E-11,22.81,,637.82,0.15072,1.26E-11,22.81,,716.05,0.15711,9.03E-12,22.81,,801,0.16351,8.98E-12,22.81,,893.15,0.16997,5.97E-12,22.81,,942.04,0.1732,2.88E-11,22.81,,846.13,0.16673,2.80E-11,22.81,,,,,
,,,,,,,,,,,,,,,,,,,,385.55,0.1255,9.63E-12,23.01,,440.21,0.13176,4.5119E-12,23.01,,500.26,0.13804,1.0161E-11,23.01,,566.02,0.14437,2.77E-11,23.01,,637.82,0.15072,3.27E-11,23.01,,716.05,0.15711,4.74E-11,23.01,,801,0.16351,1.82E-11,23.01,,893.15,0.16997,2.13E-12,23.01,,942.04,0.1732,3.92E-11,23.01,,846.13,0.16673,1.15E-11,23.01,,,,,
