763,0.213,10200,,,738,0.212,9660,,,720,0.209,9710,,,721,0.205,9720,,,721.3,0.20334,9715.4,,,820.95,0.21245,10655,,,930.04,0.22156,11653,,,1049.1,0.23065,12707,,,1178.8,0.23972,13823,,,1319.7,0.24879,15000,,,1472.3,0.25781,16243,,,1637.3,0.26689,17546,,,1724.5,0.27137,18211,,,1553.2,0.26236,16889,,,0,0,0,
W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s),,W (pJ),hm (µm),F (µN),t (s)
0.2983,0.00582,116.87,2.282,,0.29024,0.00632,113.84,2.282,,0.50826,0.00965,114.7,2.282,,0.66492,0.0153,106.51,2.282,,0.59446,0.0132,101.19,2.282,,0.81094,0.015021,122.1,2.282,,1.0693,0.016845,143.9,2.282,,1.3706,1.86E-02,167.14,2.282,,1.719,2.05E-02,191.14,2.282,,2.1181,2.23E-02,216.24,2.282,,2.5613,2.42E-02,242.4,2.282,,3.0627,2.61E-02,269.56,2.282,,3.3343,2.70E-02,283.71,2.282,,2.8049,2.51E-02,255.89,2.282,,,,,
0.65261,0.0092,163.14,2.3961,,0.63749,0.00994,161.21,2.3961,,0.84812,0.0121,152.57,2.3961,,0.96664,0.0176,133.04,2.3961,,0.8859,0.0156,128.61,2.3961,,1.1713,0.017477,152.22,2.3961,,1.5063,0.019383,176.77,2.3961,,1.895,2.13E-02,202.54,2.3961,,2.3359,2.33E-02,229.44,2.3961,,2.8338,2.52E-02,257.45,2.3961,,3.3932,2.71E-02,286.76,2.3961,,4.0155,2.91E-02,317.91,2.3961,,4.3487,3.00E-02,334.27,2.3961,,3.6967,2.81E-02,302.32,2.3961,,,,,
1.1392,0.0126,207.62,2.5102,,1.149,0.0136,209.98,2.5102,,1.2794,0.0154,188.28,2.5102,,1.3447,0.0198,162.43,2.5102,,1.2482,0.0179,158.2,2.5102,,1.6143,0.019941,184.24,2.5102,,2.039,0.021989,211.49,2.5102,,2.5221,2.40E-02,240.19,2.5102,,3.0692,2.61E-02,269.97,2.5102,,3.6868,2.81E-02,301.82,2.5102,,4.3686,3.01E-02,335.29,2.5102,,5.1238,3.20E-02,370.28,2.5102,,5.5292,3.30E-02,388.25,2.5102,,4.7373,3.10E-02,352.61,2.5102,,,,,
1.7322,0.0161,250.16,2.6243,,1.7621,0.0173,254.54,2.6243,,1.8011,0.0185,226.58,2.6243,,1.797,0.0219,192.91,2.6243,,1.6895,0.0203,189.29,2.6243,,2.1469,0.022464,218.05,2.6243,,2.6666,0.024584,248.41,2.6243,,3.263,2.67E-02,280.17,2.6243,,3.9302,2.88E-02,313.87,2.6243,,4.6744,3.09E-02,349.7,2.6243,,5.4961,3.29E-02,386.86,2.6243,,6.4114,3.50E-02,425.8,2.6243,,6.9014,3.60E-02,445.71,2.6243,,5.942,3.40E-02,406.24,2.6243,,,,,
2.4649,0.0195,293.91,2.7384,,2.4731,0.0208,296.33,2.7384,,2.4288,0.0213,270.19,2.7384,,2.3235,0.0239,223.55,2.7384,,2.2141,0.0228,222.16,2.7384,,2.768,0.024961,253.98,2.7384,,3.4051,0.027199,287.44,2.7384,,4.1225,2.94E-02,323.26,2.7384,,4.9198,3.15E-02,361.1,2.7384,,5.8098,3.37E-02,400.59,2.7384,,6.7983,3.58E-02,441.63,2.7384,,7.8896,3.80E-02,484.8,2.7384,,8.4706,3.91E-02,506.9,2.7384,,7.3313,3.69E-02,463.02,2.7384,,,,,
3.2634,0.0231,335.5,2.8525,,3.2929,0.0245,337.57,2.8525,,3.1627,0.0241,312.17,2.8525,,2.9263,0.0259,254.51,2.8525,,2.8214,0.0252,256.88,2.8525,,3.4939,0.027481,292.05,2.8525,,4.253,0.029756,329.75,2.8525,,5.1035,3.20E-02,369.43,2.8525,,6.0526,3.42E-02,411,2.8525,,7.1133,3.65E-02,454.31,2.8525,,8.28,3.87E-02,499.75,2.8525,,9.5592,4.10E-02,546.38,2.8525,,10.238,4.21E-02,570.53,2.8525,,8.9062,3.98E-02,523.11,2.8525,,,,,
4.1918,0.0266,376.56,2.9666,,4.1786,0.028,376.66,2.9666,,4.005,0.027,353.58,2.9666,,3.6197,0.028,289.59,2.9666,,3.5267,0.0276,293.76,2.9666,,4.3216,0.029939,333.12,2.9666,,5.2155,0.03225,374.51,2.9666,,6.2219,3.46E-02,418.07,2.9666,,7.3433,3.69E-02,463.58,2.9666,,8.5848,3.93E-02,511.25,2.9666,,9.942,4.16E-02,560.04,2.9666,,11.43,4.40E-02,612.02,2.9666,,12.224,4.52E-02,638.66,2.9666,,10.67,4.28E-02,585.68,2.9666,,,,,
5.2444,0.0301,417.54,3.0807,,5.2934,0.0318,420.24,3.0807,,4.9558,0.03,394.73,3.0807,,4.4115,0.0304,330.65,3.0807,,4.3263,0.03,333.35,3.0807,,5.2567,0.032345,376.35,3.0807,,6.3088,0.034768,421.72,3.0807,,7.4881,3.72E-02,469.3,3.0807,,8.7921,3.96E-02,519.01,3.0807,,10.227,4.21E-02,570.16,3.0807,,11.799,4.45E-02,624.62,3.0807,,13.523,4.70E-02,680.49,3.0807,,14.439,4.83E-02,709.67,3.0807,,12.642,4.58E-02,652.35,3.0807,,,,,
6.3543,0.0336,457.09,3.1948,,6.36,0.0356,458.66,3.1948,,6.0104,0.033,435.2,3.1948,,5.3123,0.0327,375.37,3.1948,,5.2254,0.0323,374.97,3.1948,,6.3143,0.034774,421.96,3.1948,,7.5393,0.037299,471.35,3.1948,,8.9021,3.98E-02,523.05,3.1948,,10.401,4.24E-02,576.36,3.1948,,12.056,4.49E-02,633.14,3.1948,,13.865,4.75E-02,691.59,3.1948,,15.845,5.01E-02,752.59,3.1948,,16.896,5.13E-02,783.64,3.1948,,14.834,4.88E-02,721.95,3.1948,,,,,
7.5421,0.0369,498.32,3.3089,,7.6307,0.0391,504.6,3.3089,,7.168,0.036,475.06,3.3089,,6.3306,0.035,418.91,3.3089,,6.2373,0.0346,418.79,3.3089,,7.4993,0.037216,469.81,3.3089,,8.9079,0.039851,523.3,3.3089,,10.467,4.25E-02,578.66,3.3089,,12.187,4.51E-02,637.54,3.3089,,14.08,4.78E-02,698.4,3.3089,,16.149,5.04E-02,761.72,3.3089,,18.405,5.31E-02,827.43,3.3089,,19.601,5.44E-02,861.16,3.3089,,17.254,5.18E-02,794.22,3.3089,,,,,
8.926,0.0403,545.37,3.423,,8.9696,0.0426,547.4,3.423,,8.4309,0.0388,517.25,3.423,,7.4653,0.0373,466.05,3.423,,7.3679,0.037,464.64,3.423,,8.8127,0.039676,519.83,3.423,,10.416,0.04241,576.94,3.423,,12.197,4.51E-02,637.86,3.423,,14.157,4.79E-02,700.89,3.423,,16.311,5.06E-02,766.42,3.423,,18.657,5.33E-02,834.61,3.423,,21.216,5.61E-02,906.36,3.423,,22.573,5.75E-02,943.6,3.423,,19.909,5.47E-02,869.93,3.423,,,,,
10.379,0.0434,598.84,3.5371,,10.481,0.046,595.97,3.5371,,9.8009,0.0416,559.24,3.5371,,8.7239,0.0396,516.22,3.5371,,8.6177,0.0393,512.61,3.5371,,10.255,0.042144,571.3,3.5371,,12.08,0.044973,634.04,3.5371,,14.099,4.78E-02,699.05,3.5371,,16.319,5.06E-02,766.72,3.5371,,18.752,5.35E-02,837.28,3.5371,,21.403,5.63E-02,911.64,3.5371,,24.29,5.91E-02,989,3.5371,,25.819,6.05E-02,1029.1,3.5371,,22.817,5.77E-02,950.18,3.5371,,,,,
12.066,0.0466,657.38,3.6512,,12.014,0.0493,640.99,3.6512,,11.278,0.0444,601.56,3.6512,,10.104,0.042,568.03,3.6512,,9.9866,0.0417,561.75,3.6512,,11.841,0.044615,626.12,3.6512,,13.902,0.047536,692.85,3.6512,,16.183,5.05E-02,762.71,3.6512,,18.679,5.34E-02,835.29,3.6512,,21.418,5.63E-02,912.03,3.6512,,24.398,5.92E-02,991.87,3.6512,,27.637,6.21E-02,1075.1,3.6512,,29.352,6.36E-02,1117.5,3.6512,,25.983,6.06E-02,1033.3,3.6512,,,,,
13.767,0.0491,719.27,3.7653,,13.722,0.0526,688.89,3.7653,,12.878,0.0473,648.4,3.7653,,11.616,0.0445,620.83,3.7653,,11.486,0.0441,614.1,3.7653,,13.575,0.047089,682.34,3.7653,,15.894,0.050108,754.19,3.7653,,18.449,5.31E-02,828.77,3.7653,,21.249,5.61E-02,907.43,3.7653,,24.316,5.91E-02,989.75,3.7653,,27.649,6.21E-02,1075.4,3.7653,,31.269,6.51E-02,1164.7,3.7653,,33.189,6.66E-02,1210.5,3.7653,,29.42,6.36E-02,1119.3,3.7653,,,,,
15.704,0.0522,776.36,3.8794,,15.609,0.0558,738.12,3.8794,,14.594,0.0503,694.79,3.8794,,13.263,0.0469,674.33,3.8794,,13.122,0.0465,667.89,3.8794,,15.464,0.049567,741.24,3.8794,,18.055,0.052672,817.64,3.8794,,20.91,5.58E-02,897.99,3.8794,,24.037,5.88E-02,982.52,3.8794,,27.455,6.19E-02,1070.6,3.8794,,31.168,6.50E-02,1162.3,3.8794,,35.203,6.81E-02,1257.9,3.8794,,37.334,6.97E-02,1307.1,3.8794,,33.145,6.66E-02,1209.5,3.8794,,,,,
