0.510491516,155724.9766,160.612921,,0.514217096,135664.8675,149.4571069,,0.505662492,175034.6214,171.6433945,,0.510491516,155724.9766,160.612921,,0.514217096,135664.8675,149.4571069,,0.518111675,113175.9546,136.7966094,,0.520982479,98647.98694,129.900645,,0.519066404,90342.34753,127.1936752,,0.515625499,79142.24664,122.334213,,0.517385152,123378.6164,141.9310207,,0.512724551,145181.9923,154.5749507
662.44,251.04,10123,,570.44,241.04,8685.4,,767.33,261.05,11698,,662.44,251.04,10123,,570.44,241.04,8685.4,,492.5,231.03,7303.2,,424.64,221.03,6346.5,,365.04,211.03,5665.9,,313.27,201.03,4944,,530.05,236.03,7908.4,,614.56,246.04,9358.2
W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN),,W (pJ),h (um),F (uN)
5.4835,8.28E-02,682.02,,3.4367,7.95E-02,560.56,,7.9196,8.61E-02,788.02,,5.4835,8.28E-02,682.02,,3.4367,7.95E-02,560.56,,1.7627,7.62E-02,431.57,,0.63662,7.29E-02,261.06,,6.51E-02,6.96E-02,83.343,,7.14E-28,6.63E-02,1.55E-13,,2.5698,7.79E-02,498.97,,4.389,8.12E-02,621.11
7.3065,8.53E-02,762.89,,4.8819,8.19E-02,650.19,,10.048,8.87E-02,868.45,,7.3065,8.53E-02,762.89,,4.8819,8.19E-02,650.19,,2.9156,7.85E-02,524.67,,1.3306,7.51E-02,377.86,,0.35512,7.17E-02,194.72,,4.44E-03,6.83E-02,21.749,,3.8292,8.02E-02,585.99,,6.0504,8.36E-02,707.99
9.2841,8.79E-02,841.94,,6.5827,8.44E-02,731.54,,12.421,9.14E-02,946.04,,9.2841,8.79E-02,841.94,,6.5827,8.44E-02,731.54,,4.2038,8.09E-02,609.87,,2.3023,7.74E-02,478.94,,0.89312,7.39E-02,309.17,,0.13246,7.04E-02,119,,5.3247,8.26E-02,674.24,,7.8576,8.61E-02,785.56
11.5,9.04E-02,916.9,,8.4011,8.68E-02,807.29,,15.021,9.40E-02,1024.6,,11.5,9.04E-02,916.9,,8.4011,8.68E-02,807.29,,5.7267,8.32E-02,693.31,,3.4402,7.96E-02,561,,1.6475,7.60E-02,419.78,,0.48611,7.24E-02,228.17,,7.0379,8.50E-02,751.3,,9.8851,8.86E-02,862.96
13.926,9.29E-02,992.46,,10.438,8.92E-02,881.6,,17.816,9.66E-02,1103,,13.926,9.29E-02,992.46,,10.438,8.92E-02,881.6,,7.3843,8.55E-02,766.12,,4.7783,8.18E-02,644.38,,2.6499,7.81E-02,505.18,,1.0568,7.44E-02,336.58,,8.8657,8.73E-02,825.63,,12.118,9.10E-02,936.59
16.533,9.54E-02,1067.9,,12.683,9.16E-02,954.22,,20.704,9.92E-02,1178.5,,16.533,9.54E-02,1067.9,,12.683,9.16E-02,954.22,,9.2337,8.78E-02,840.02,,6.3254,8.40E-02,720.45,,3.8009,8.02E-02,584.41,,1.8413,7.64E-02,439.77,,10.921,8.97E-02,897.78,,14.548,9.35E-02,1010.9
19.22,9.79E-02,1140.5,,15.002,9.40E-02,1023.9,,23.946,1.02E-01,1258.3,,19.22,9.79E-02,1140.5,,15.002,9.40E-02,1023.9,,11.292,9.01E-02,910.16,,7.9794,8.62E-02,790.63,,5.1316,8.23E-02,664.46,,2.806,7.84E-02,516.77,,13.145,9.20E-02,968.59,,17.053,9.59E-02,1082.1
22.24,0.1004,1217.2,,17.621,9.64E-02,1097.6,,27.255,0.1044,1333.5,,22.24,0.1004,1217.2,,17.621,9.64E-02,1097.6,,13.416,9.24E-02,976.99,,9.8103,8.84E-02,860.51,,6.5901,8.44E-02,732.13,,3.9351,8.04E-02,593.1,,15.441,9.44E-02,1036.7,,19.871,9.84E-02,1157.4
25.215,0.10291,1287.7,,20.286,9.88E-02,1167.8,,30.775,0.10701,1408.4,,25.215,0.10291,1287.7,,20.286,9.88E-02,1167.8,,15.816,9.47E-02,1047.7,,11.727,9.06E-02,924.17,,8.2064,8.65E-02,799.81,,5.2225,8.24E-02,669.66,,18.031,9.68E-02,1108.7,,22.735,0.10086,1229.2
28.534,0.10542,1361.4,,23.147,0.10122,1239,,34.524,0.10962,1484,,28.534,0.10542,1361.4,,23.147,0.10122,1239,,18.255,9.70E-02,1114.9,,13.901,9.28E-02,991.68,,9.995,8.86E-02,866.88,,6.6333,8.44E-02,734.16,,20.661,9.91E-02,1177.5,,25.806,0.10332,1301.1
32.041,0.10793,1434.5,,26.196,0.10363,1309.8,,38.325,0.11223,1556.9,,32.041,0.10793,1434.5,,26.196,0.10363,1309.8,,20.875,9.93E-02,1183.1,,16.11,9.50E-02,1055.9,,11.844,9.07E-02,927.96,,8.1796,8.64E-02,798.87,,23.482,0.10148,1247.1,,29.07,0.10578,1372.7
35.734,0.11044,1507.8,,29.423,0.10604,1380.1,,42.52,0.11484,1633.2,,35.734,0.11044,1507.8,,29.423,0.10604,1380.1,,23.665,0.10164,1251.7,,18.485,9.72E-02,1121,,13.931,9.28E-02,992.64,,9.7944,8.84E-02,860.05,,26.484,0.10384,1316.3,,32.402,0.10824,1441.7
