90.41777778,0.622123894,30603.33333,,95.15306122,0.616676452,29996.42857,,100.6390533,0.61058012,29335.76923,,121.9683282,0.596085125,28620.61856,,105.625,0.611233498,30500.41667,,112.4876033,0.605053245,29998.63636,,119.79,0.598319495,29051.5,,127.0493827,0.590709433,27228.33333,,135.671875,0.581196933,24766.875,,148.1816327,0.569576587,23168.57143,,167.7472222,0.556950778,22495.96466,,192.28,0.542113779,23188.70056
0.15,105.09,2034.4,,0.14,90.271,1865,,0.13,76.691,1700.8,,0.097,37.498,1147.6,,0.12,61.281,1521,,0.11,50.146,1361.1,,0.1,40.226,1197.9,,0.09,31.645,1029.1,,0.08,24.262,868.3,,0.07,17.973,726.09,,0.06,12.718,603.89,,0.05,8.4058,480.7
h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN),,h (um),W (pJ),F (uN)
4.61E-02,7.0802,467.06,,4.31E-02,6.0527,428.77,,4.02E-02,5.1101,389.77,,3.02E-02,2.4685,246.59,,3.68E-02,3.9911,321.11,,3.42E-02,3.2681,285.49,,3.11E-02,2.6429,255.49,,2.79E-02,2.0839,225.76,,2.47E-02,1.5933,196.48,,2.15E-02,1.1739,167.47,,1.82E-02,0.81627,138.08,,1.50E-02,0.52488,107.8
4.90E-02,8.1942,505.26,,4.59E-02,7.0097,464.57,,4.28E-02,5.9226,423.64,,3.22E-02,2.8521,265.73,,3.89E-02,4.6255,349.13,,3.61E-02,3.7913,311.74,,3.32E-02,3.0506,275.08,,2.99E-02,2.4116,243.62,,2.64E-02,1.8466,212.05,,2.30E-02,1.3626,181.07,,1.95E-02,0.95047,149.85,,1.60E-02,0.61495,118.06
5.19E-02,9.3929,543.42,,4.86E-02,8.0411,500.22,,4.53E-02,6.7988,456.94,,3.42E-02,3.2639,285.31,,4.10E-02,5.31,376.7,,3.80E-02,4.3555,337.58,,3.51E-02,3.5009,297.51,,3.17E-02,2.7626,261.43,,2.82E-02,2.1194,227.78,,2.45E-02,1.5632,194.54,,2.08E-02,1.0968,161.6,,1.71E-02,0.71212,128.15
5.48E-02,10.679,582.02,,5.14E-02,9.1482,535.87,,4.78E-02,7.7384,490.06,,3.59E-02,3.7229,308.49,,4.32E-02,6.0444,403.96,,3.99E-02,4.9625,363.03,,3.68E-02,3.992,321.23,,3.36E-02,3.1356,278.96,,2.99E-02,2.4119,243.66,,2.60E-02,1.7818,208.18,,2.21E-02,1.2538,173.38,,1.82E-02,0.81634,138.1
5.75E-02,12.102,624.59,,5.41E-02,10.323,571.21,,5.04E-02,8.7456,523.24,,3.75E-02,4.2139,331.34,,4.56E-02,6.828,430.97,,4.19E-02,5.6105,388.16,,3.85E-02,4.5173,344.61,,3.52E-02,3.5487,299.95,,3.15E-02,2.7229,259.51,,2.75E-02,2.0147,221.87,,2.34E-02,1.4188,184.95,,1.93E-02,0.92747,147.94
6.02E-02,13.62,666.76,,5.66E-02,11.618,610.54,,5.29E-02,9.8116,556.14,,3.92E-02,4.7377,353.9,,4.80E-02,7.6637,457.83,,4.40E-02,6.3011,413.06,,4.03E-02,5.0777,367.67,,3.68E-02,3.9924,321.28,,3.32E-02,3.0511,275.14,,2.90E-02,2.2636,235.76,,2.47E-02,1.5937,196.54,,2.04E-02,1.0468,157.69
6.30E-02,15.233,708.59,,5.91E-02,13.002,650.01,,5.54E-02,10.958,590.72,,4.09E-02,5.2939,376.17,,5.04E-02,8.5491,484.68,,4.62E-02,7.0325,437.75,,4.20E-02,5.6721,390.49,,3.84E-02,4.4636,342.34,,3.47E-02,3.4076,292.83,,3.05E-02,2.5266,249.65,,2.60E-02,1.782,208.22,,2.15E-02,1.1741,167.52
6.60E-02,16.934,750.23,,6.16E-02,14.47,689.19,,5.77E-02,12.202,627.57,,4.27E-02,5.8828,398.24,,5.28E-02,9.492,512.63,,4.84E-02,7.8091,462.39,,4.40E-02,6.3018,413.12,,3.99E-02,4.9634,363.14,,3.61E-02,3.7926,311.9,,3.20E-02,2.804,263.48,,2.73E-02,1.9805,219.92,,2.26E-02,1.308,177.26
6.90E-02,18.726,791.66,,6.44E-02,16.018,728.13,,6.00E-02,13.519,664.12,,4.46E-02,6.5042,420.13,,5.52E-02,10.51,543.17,,5.06E-02,8.6263,487,,4.60E-02,6.965,435.58,,4.15E-02,5.4907,383.72,,3.75E-02,4.199,330.73,,3.34E-02,3.0937,277.11,,2.86E-02,2.1913,231.82,,2.36E-02,1.4471,186.89
7.20E-02,20.608,832.89,,6.72E-02,17.642,766.92,,6.24E-02,14.906,700.41,,4.66E-02,7.1575,441.86,,5.76E-02,11.581,573.41,,5.28E-02,9.4936,512.73,,4.80E-02,7.6656,457.97,,4.32E-02,6.0465,404.15,,3.89E-02,4.6278,349.37,,3.47E-02,3.408,292.9,,2.99E-02,2.4124,243.73,,2.47E-02,1.5938,196.56
